55135101200.00,Waupaca County,Wisconsin,3909,6.8,74250,0
55121100700.00,Trempealeau County,Wisconsin,5045,5.9,80000,0
55117010100.00,Sheboygan County,Wisconsin,1531,4.1,92833,0
55117010200.00,Sheboygan County,Wisconsin,4598,5.5,81845,0
55117010300.00,Sheboygan County,Wisconsin,3101,3.2,88533,0
55117010502.00,Sheboygan County,Wisconsin,3478,6.1,71122,0
55117010602.00,Sheboygan County,Wisconsin,3793,4,72583,0
55117010700.00,Sheboygan County,Wisconsin,8202,3.2,97264,0
55117010900.00,Sheboygan County,Wisconsin,3208,6.5,80536,0
55117011000.00,Sheboygan County,Wisconsin,2754,5.1,82279,0
55117011100.00,Sheboygan County,Wisconsin,4171,3.3,85119,0
55117011200.00,Sheboygan County,Wisconsin,3615,5.1,77917,0
55117011300.00,Sheboygan County,Wisconsin,7121,4.4,79402,0
55115100100.00,Shawano County,Wisconsin,2797,3.9,67167,0
55115100200.00,Shawano County,Wisconsin,1796,6,61492,0
55115101100.00,Shawano County,Wisconsin,3992,5.3,79850,0
55111000600.00,Sauk County,Wisconsin,6578,5.9,80299,0
55111001100.00,Sauk County,Wisconsin,4134,6.5,72083,0
55101001601.00,Racine County,Wisconsin,6054,5.7,88661,0
55101001802.00,Racine County,Wisconsin,2788,3.3,98750,0
55101001900.00,Racine County,Wisconsin,3870,6,80250,0
55101002002.00,Racine County,Wisconsin,4961,4.4,106719,0
55101002100.00,Racine County,Wisconsin,3324,4.6,79896,0
55101002401.00,Racine County,Wisconsin,5727,3.6,76173,0
55101002600.00,Racine County,Wisconsin,5739,3.5,83004,0
55101002800.00,Racine County,Wisconsin,5891,3.2,103533,0
55099970400.00,Price County,Wisconsin,1861,6.9,62563,0
55083101100.00,Oconto County,Wisconsin,4588,6.8,81285,0
55083101300.00,Oconto County,Wisconsin,8785,4.8,86750,0
55079005200.00,Milwaukee County,Wisconsin,1657,6.9,70560,0
55079005500.00,Milwaukee County,Wisconsin,3318,4.2,91031,0
55079005600.00,Milwaukee County,Wisconsin,2198,5.6,95688,0
55079009400.00,Milwaukee County,Wisconsin,2423,4.4,75927,0
55079009500.00,Milwaukee County,Wisconsin,2121,5.1,80114,0
55079018100.00,Milwaukee County,Wisconsin,1637,6.3,69821,0
55079018200.00,Milwaukee County,Wisconsin,1608,5.7,108125,0
55079020600.00,Milwaukee County,Wisconsin,3525,5.7,60664,0
55079020800.00,Milwaukee County,Wisconsin,3009,4,78633,0
55079021500.00,Milwaukee County,Wisconsin,2824,6.9,71793,0
55079050101.00,Milwaukee County,Wisconsin,5990,3.5,84043,0
55079070100.00,Milwaukee County,Wisconsin,4373,4.3,126375,0
55079070200.00,Milwaukee County,Wisconsin,5172,2.6,166136,0
55079070300.00,Milwaukee County,Wisconsin,4541,3.7,129643,0
55079090200.00,Milwaukee County,Wisconsin,1800,3.4,92375,0
55079090700.00,Milwaukee County,Wisconsin,3159,2.8,162460,0
55079090800.00,Milwaukee County,Wisconsin,2363,5.6,140800,0
55079090900.00,Milwaukee County,Wisconsin,3837,5.9,100179,0
55079091000.00,Milwaukee County,Wisconsin,4438,3.5,106486,0
55079091100.00,Milwaukee County,Wisconsin,4250,2.4,133405,0
55079091300.00,Milwaukee County,Wisconsin,3737,5.6,143068,0
55079091400.00,Milwaukee County,Wisconsin,2195,3.2,97750,0
55079100700.00,Milwaukee County,Wisconsin,2834,6.6,67946,0
55079101200.00,Milwaukee County,Wisconsin,3240,5.8,76576,0
55079120101.00,Milwaukee County,Wisconsin,3953,5.7,110345,0
55079120102.00,Milwaukee County,Wisconsin,3891,3.3,93802,0
55079130100.00,Milwaukee County,Wisconsin,4869,4,93594,0
55079130200.00,Milwaukee County,Wisconsin,2822,4.4,96696,0
55079140100.00,Milwaukee County,Wisconsin,2999,4.9,105682,0
55079140201.00,Milwaukee County,Wisconsin,5235,5.4,77973,0
55079140202.00,Milwaukee County,Wisconsin,5812,4.4,100833,0
55079150100.00,Milwaukee County,Wisconsin,8972,5.2,104000,0
55075961200.00,Marinette County,Wisconsin,2822,1.9,80682,0
55063000100.00,La Crosse County,Wisconsin,4712,6.6,64173,0
55063000700.00,La Crosse County,Wisconsin,4430,5.2,88796,0
55063001101.00,La Crosse County,Wisconsin,2131,6.9,75875,0
55063010102.00,La Crosse County,Wisconsin,4598,6.3,76250,0
55063010201.00,La Crosse County,Wisconsin,9503,5.2,90315,0
55063010203.00,La Crosse County,Wisconsin,1887,4.1,85972,0
55063010700.00,La Crosse County,Wisconsin,5484,6.4,92550,0
55061960400.00,Kewaunee County,Wisconsin,8589,6.4,80923,0
55059000601.00,Kenosha County,Wisconsin,6602,5,98900,0
55059001400.00,Kenosha County,Wisconsin,7144,6.4,75139,0
55059002700.00,Kenosha County,Wisconsin,5517,4,95625,0
55059003001.00,Kenosha County,Wisconsin,4312,6.7,88779,0
55029100400.00,Door County,Wisconsin,2559,4.3,77750,0
